name,statement_text,section_level_0,section_level_1,section_level_2,outcome_measure
input\Prot_000,"The primary objective of the study is to compare the efficacy of brigatinib to that of crizotinib in ALK+ locally advanced or metastatic NSCLC patients naive to ALK inhibitors, as evidenced by PFS.",objectives-endpoints-section,primary-objective,efficacy-objective,PFS
input\Prot_000,"To compare the efficacy of brigatinib to that of crizotinib, as evidenced by confirmed ORR, time to/duration of response, disease control rate (DCR), and Overall Survival (OS).",objectives-endpoints-section,secondary-objective,efficacy-objective,"ORR, DCR, OS"
input\Prot_000,"To compare the efficacy in the CNS of brigatinib to that of crizotinib, as evidenced by intracranial response and intracranial PFS in those patients with intracranial CNS metastases at baseline.",objectives-endpoints-section,secondary-objective,efficacy-objective,"intracranial response, intracranial PFS"
input\Prot_000,To assess the safety and tolerability of brigatinib in comparison with crizotinib.,objectives-endpoints-section,secondary-objective,safety-and-tolerability-objective,Safety and tolerability
input\Prot_000,To determine PK parameters of brigatinib through population PK modeling.,objectives-endpoints-section,secondary-objective,pharmacokinetic-objective,Pharmacokinetics
input\Prot_000,"To assess patient-reported symptoms and health-related quality of life (HRQoL) with the European Organisation for Research and Treatment of Cancer (EORTC) Quality of Life Questionnaire (QLQ)-C30 (v3.0) and its lung cancer module, QLQ-LC13 (v3.0) in patients treated with brigatinib compared to those treated with crizotinib.",objectives-endpoints-section,secondary-objective,efficacy-objective,Quality of Life
input\Prot_000,"PFS, as assessed by the BIRC, per Response Evaluation Criteria in Solid Tumors (RECIST) v1.1.",objectives-endpoints-section,primary-objective,efficacy-objective,PFS
input\Prot_000,"Confirmed ORR, as assessed by the BIRC, per RECIST v1.1.",objectives-endpoints-section,secondary-objective,efficacy-objective,ORR
input\Prot_000,"Confirmed intracranial ORR, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,intracranial ORR
input\Prot_000,"Intracranial PFS, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,intracranial PFS
input\Prot_000,OS.,objectives-endpoints-section,secondary-objective,efficacy-objective,OS
input\Prot_000,"Duration of response, as assessed by the BIRC.",objectives-endpoints-section,secondary-objective,efficacy-objective,Duration of response
